store_name,month,day_of_week,market_type,quarterhour,turnover_weight,n_lines
Lesquin,1,1,fruits et légumes,08:45,5.5904714017706975e-06,3.0
Lesquin,1,1,fruits et légumes,09:00,3.446569988012285e-05,16.0
Lesquin,1,1,fruits et légumes,09:15,0.0001552731247431,46.0
Lesquin,1,1,fruits et légumes,09:30,0.0002673576394665,81.0
Lesquin,1,1,fruits et légumes,09:45,0.0004796979413284,123.0
Lesquin,1,1,fruits et légumes,10:00,0.0003159148767848,88.0
Lesquin,1,1,fruits et légumes,10:15,0.0003816073526376,118.0
Lesquin,1,1,fruits et légumes,10:30,0.0005552402953653,188.0
Lesquin,1,1,fruits et légumes,10:45,0.0006403751884266,205.0
Lesquin,1,1,fruits et légumes,11:00,0.0006812388722443,204.0
Lesquin,1,1,fruits et légumes,11:15,0.0006359294325976,188.0
Lesquin,1,1,fruits et légumes,11:30,0.0006395676758908,191.0
Lesquin,1,1,fruits et légumes,11:45,0.0005664656069895,170.0
Lesquin,1,1,fruits et légumes,12:00,0.0007048253373013,211.0
Lesquin,1,1,fruits et légumes,12:15,0.0004636807970741,147.0
Lesquin,1,1,fruits et légumes,12:30,0.0001219343929075,35.0
Lesquin,1,1,fruits et légumes,12:45,3.0649981304311095e-05,16.0
Lesquin,1,1,fruits et légumes,13:00,5.9968897989152986e-05,18.0
Lesquin,1,1,fruits et légumes,13:15,3.727868310926779e-05,13.0
Lesquin,1,1,fruits et légumes,13:30,3.545068769853006e-05,9.0
Lesquin,1,1,produits maison,08:45,3.185681322596319e-06,1.0
Lesquin,1,1,produits maison,09:00,3.706571277015271e-05,1.0
Lesquin,1,1,produits maison,09:15,8.697176223611845e-05,8.0
Lesquin,1,1,produits maison,09:30,6.952594195694194e-05,16.0
Lesquin,1,1,produits maison,09:45,0.0001950808306294,38.0
Lesquin,1,1,produits maison,10:00,0.000242777312827,53.0
Lesquin,1,1,produits maison,10:15,0.0003028438222216,67.0
Lesquin,1,1,produits maison,10:30,0.0002635951634755,56.0
Lesquin,1,1,produits maison,10:45,0.0001645195869663,40.0
Lesquin,1,1,produits maison,11:00,0.0002138310942356,46.0
Lesquin,1,1,produits maison,11:15,0.0003414624437145,80.0
Lesquin,1,1,produits maison,11:30,0.0002836232491165,59.0
Lesquin,1,1,produits maison,11:45,0.0002241601556827,52.0
Lesquin,1,1,produits maison,12:00,0.0003376289776104,70.0
Lesquin,1,1,produits maison,12:15,0.0002048419711721,47.0
Lesquin,1,1,produits maison,12:30,0.0001088100957595,25.0
Lesquin,1,1,produits maison,12:45,3.608959871587529e-05,7.0
Lesquin,1,1,produits maison,13:00,4.8184539224785535e-05,11.0
Lesquin,1,1,produits maison,13:15,1.446423553156546e-05,3.0
Lesquin,1,1,produits maison,13:30,5.066919318112808e-06,1.0
Lesquin,1,1,charcuterie,08:30,8.252600640709128e-06,1.0
Lesquin,1,1,charcuterie,08:45,1.5795300151034673e-05,2.0
Lesquin,1,1,charcuterie,09:00,0.0001475706974784,21.0
Lesquin,1,1,charcuterie,09:15,0.0002158809337496,32.0
Lesquin,1,1,charcuterie,09:30,0.0002730279747455,32.0
Lesquin,1,1,charcuterie,09:45,0.0003810394317333,50.0
Lesquin,1,1,charcuterie,10:00,0.0002388018664969,36.0
Lesquin,1,1,charcuterie,10:15,0.0002780416514788,37.0
Lesquin,1,1,charcuterie,10:30,0.0003950511052943,55.0
Lesquin,1,1,charcuterie,10:45,0.0004380977350879,65.0
Lesquin,1,1,charcuterie,11:00,0.0003639396882552,57.0
Lesquin,1,1,charcuterie,11:15,0.0003643123863487,59.0
Lesquin,1,1,charcuterie,11:30,0.0005453460483606,84.0
Lesquin,1,1,charcuterie,11:45,0.0005938500430941,84.0
Lesquin,1,1,charcuterie,12:00,0.0004620835195308,75.0
Lesquin,1,1,charcuterie,12:15,0.0005007642573725,66.0
Lesquin,1,1,charcuterie,12:30,0.0001747599107721,25.0
Lesquin,1,1,charcuterie,12:45,5.827400904036219e-05,11.0
Lesquin,1,1,charcuterie,13:00,2.4562579111271896e-05,5.0
Lesquin,1,1,charcuterie,13:15,4.356130811316248e-05,8.0
Lesquin,1,1,charcuterie,13:30,2.554756692967912e-05,3.0
Lesquin,1,1,snacks,09:15,4.073057735575795e-06,3.0
Lesquin,1,1,snacks,09:45,1.5085399020651092e-05,7.0
Lesquin,1,1,snacks,10:00,2.995782770218711e-05,11.0
Lesquin,1,1,snacks,10:15,2.7144844473042173e-05,9.0
Lesquin,1,1,snacks,10:30,2.910594634572681e-06,2.0
Lesquin,1,1,snacks,10:45,2.209567268318895e-05,8.0
Lesquin,1,1,snacks,11:00,5.643713986549467e-06,3.0
Lesquin,1,1,snacks,11:15,1.918507804861627e-05,9.0
Lesquin,1,1,snacks,11:30,3.0277283210859724e-05,15.0
Lesquin,1,1,snacks,11:45,1.5200757954338424e-05,9.0
Lesquin,1,1,snacks,12:00,4.3037756029504586e-05,17.0
Lesquin,1,1,snacks,12:15,1.8528419503011457e-05,9.0
Lesquin,1,1,snacks,12:30,4.64097863988266e-06,2.0
Lesquin,1,1,snacks,12:45,1.730384005309978e-06,1.0
Lesquin,1,1,snacks,13:00,7.613689623363904e-06,3.0
Lesquin,1,1,snacks,13:15,4.330396895339843e-06,2.0
Lesquin,1,1,snacks,13:30,3.327661548673035e-06,1.0
Lesquin,1,1,jeux vidéos,09:15,2.697624295457607e-06,1.0
Lesquin,1,1,jeux vidéos,09:30,5.830950409688138e-05,8.0
Londres,1,1,fruits et légumes,08:45,1.235165252100384e-05,4.0
Londres,1,1,fruits et légumes,09:00,3.658445738417236e-05,25.0
Londres,1,1,fruits et légumes,09:15,6.781748664728708e-05,36.0
Londres,1,1,fruits et légumes,09:30,7.646241602021887e-05,41.0
Londres,1,1,fruits et légumes,09:45,9.280309179659828e-05,43.0
Londres,1,1,fruits et légumes,10:00,8.251345745068087e-05,48.0
Londres,1,1,fruits et légumes,10:15,9.24062351240122e-05,47.0
Londres,1,1,fruits et légumes,10:30,0.0001234019686447,59.0
Londres,1,1,fruits et légumes,10:45,0.0001494144915757,79.0
Londres,1,1,fruits et légumes,11:00,0.0001745187445962,114.0
Londres,1,1,fruits et légumes,11:15,0.0001372674043498,81.0
Londres,1,1,fruits et légumes,11:30,0.0001497008829889,82.0
Londres,1,1,fruits et légumes,11:45,0.0001028554304001,67.0
Londres,1,1,fruits et légumes,12:00,0.0001648182583003,83.0
Londres,1,1,fruits et légumes,12:15,0.0001692900556522,98.0
Londres,1,1,fruits et légumes,12:30,0.0001387320918631,81.0
Londres,1,1,fruits et légumes,12:45,7.51204676840515e-05,36.0
Londres,1,1,fruits et légumes,13:00,7.502227634238074e-05,42.0
Londres,1,1,fruits et légumes,13:15,6.947037423207858e-05,39.0
Londres,1,1,fruits et légumes,13:30,3.64044399244426e-05,25.0
Londres,1,1,produits maison,08:45,2.119296457727721e-06,1.0
Londres,1,1,produits maison,09:00,1.0768317136562477e-05,5.0
Londres,1,1,produits maison,09:15,7.969863898945176e-06,3.0
Londres,1,1,produits maison,09:30,2.3226343611043e-05,13.0
Londres,1,1,produits maison,09:45,2.311178704576042e-05,16.0
Londres,1,1,produits maison,10:00,3.849100593494672e-05,21.0
Londres,1,1,produits maison,10:15,6.246196722032648e-05,25.0
Londres,1,1,produits maison,10:30,3.16217033238949e-05,17.0
Londres,1,1,produits maison,10:45,5.299468536090188e-05,21.0
Londres,1,1,produits maison,11:00,5.1300884717080886e-05,27.0
Londres,1,1,produits maison,11:15,7.210926653948086e-05,31.0
Londres,1,1,produits maison,11:30,4.69600091540517e-05,27.0
Londres,1,1,produits maison,11:45,4.960299276735693e-05,18.0
Londres,1,1,produits maison,12:00,5.049898876010282e-05,25.0
Londres,1,1,produits maison,12:15,8.08728437835982e-05,27.0
Londres,1,1,produits maison,12:30,3.153987720583591e-05,13.0
Londres,1,1,produits maison,12:45,3.2223125291628444e-05,17.0
Londres,1,1,produits maison,13:00,1.8824098459469583e-05,9.0
Londres,1,1,produits maison,13:15,2.316906532840171e-05,14.0
Londres,1,1,produits maison,13:30,2.445373538192778e-05,12.0
Londres,1,1,charcuterie,08:30,1.7723537171576232e-05,1.0
Londres,1,1,charcuterie,08:45,8.212887469580362e-05,21.0
Londres,1,1,charcuterie,09:00,5.724964349996912e-05,13.0
Londres,1,1,charcuterie,09:15,0.0001423938106462,36.0
Londres,1,1,charcuterie,09:30,0.0001608169611272,37.0
Londres,1,1,charcuterie,09:45,0.0001753124579413,38.0
Londres,1,1,charcuterie,10:00,0.0002210082535714,51.0
Londres,1,1,charcuterie,10:15,0.0002726937210433,58.0
Londres,1,1,charcuterie,10:30,0.000338809224435,68.0
Londres,1,1,charcuterie,10:45,0.0003650672257201,79.0
Londres,1,1,charcuterie,11:00,0.000312248466513,79.0
Londres,1,1,charcuterie,11:15,0.0003643512471871,90.0
Londres,1,1,charcuterie,11:30,0.000426580009971,99.0
Londres,1,1,charcuterie,11:45,0.0004785395949384,109.0
Londres,1,1,charcuterie,12:00,0.0003878107952346,86.0
Londres,1,1,charcuterie,12:15,0.000523621694683,110.0
Londres,1,1,charcuterie,12:30,0.0003897214350913,68.0
Londres,1,1,charcuterie,12:45,0.0001446235723633,34.0
